"site","site_code","season","replicate","tube","phenotype","reads","clade","hudsonica","clade_id","coverage","joined","bam","exclude"
"Tyler Cove","MD","peak",2,9,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,10,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,1,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,2,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,4,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,5,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,6,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,7,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,8,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,9,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",1,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,1,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,3,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,5,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,7,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","late",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,4,"yes","yes","S","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",1,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","early",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",1,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ganey's Wharf","GW","peak",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
