"site","site_code","season","replicate","tube","phenotype","reads","clade","hudsonica","clade_id","coverage","joined","bam","exclude"
"Sawyer Park","ME","peak",1,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",1,9,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,8,"yes","yes","S","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","peak",2,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",1,1,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,1,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,3,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,4,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,6,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",2,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,2,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,9,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",1,10,"yes","yes","S","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,6,"yes","yes",NA,"no","no","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,7,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,8,"yes","yes",NA,"no","no","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","early",2,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,8,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","peak",2,10,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,1,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,2,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,3,"yes","yes","IV","no","yes","yes","yes","no","yes"
"St. Thomas de Kent Wharf","TK","late",1,4,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,5,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,6,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,7,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,8,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,9,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",1,10,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,1,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,2,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,3,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,4,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,5,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,6,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,7,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,8,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,9,"yes","yes","IV","no","yes","yes","yes","yes","no"
"St. Thomas de Kent Wharf","TK","late",2,10,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,1,"yes","yes",NA,"no","no","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,3,"yes","yes",NA,"no","no","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","early",2,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,3,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,9,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","peak",2,10,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,3,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,4,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,6,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,8,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,1,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,2,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,3,"yes","yes","IV","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,4,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,5,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,6,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,7,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,9,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ritchie Wharf","RW","late",2,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Sawyer Park","ME","late",1,3,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,7,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,6,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,8,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,10,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,2,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,4,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,9,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
"Sawyer Park","ME","late",1,5,NA,"yes","A_hudsonica","yes","yes","yes","no","no","yes"
