"","sample","genome_territory","mean_coverage","sd_coverage","pct_1x","pct_5x","total_reads","pf_hq_aligned_reads"
"346","RW_late_1_10",950193284,1.735548,4.564443,0.336127,0.137036,14955084,14955084
"347","RW_late_2_01",950193284,1.872663,5.069259,0.347481,0.145409,16214431,16214431
"348","RW_late_2_02",950193284,1.939703,4.78512,0.364097,0.154593,16755890,16755890
"349","RW_late_2_03",950193284,1.333792,6.510821,0.18558,0.088805,18176133,18176133
"350","RW_late_2_04",950193284,2.251285,5.407059,0.393598,0.178312,19502498,19502498
"351","RW_late_2_05",950193284,2.22322,5.362647,0.390457,0.175241,19297548,19297548
"352","RW_late_2_06",950193284,2.256086,5.443318,0.387366,0.177265,19458416,19458416
"353","RW_late_2_07",950193284,3.503578,8.384782,0.45042,0.250881,30544891,30544891
"354","RW_late_2_08",950193284,0.013535,0.233247,0.005846,0.000732,148563,148563
"355","RW_late_2_09",950193284,1.616697,4.437743,0.317308,0.128225,14099149,14099149
"356","RW_late_2_10",950193284,2.025627,5.707025,0.35207,0.155048,17737709,17737709
"357","RW_peak_1_01",950193284,0.861779,3.018646,0.210865,0.064102,7310981,7310981
"358","RW_peak_1_02",950193284,0.815824,2.641121,0.208365,0.061745,6901000,6901000
"359","RW_peak_1_03",950193284,0.633645,2.356812,0.165909,0.046949,5334433,5334433
"360","RW_peak_1_04",950193284,2.273092,5.635766,0.387608,0.176801,19159434,19159434
"361","RW_peak_1_05",950193284,1.750922,4.53298,0.341958,0.138502,14781654,14781654
"362","RW_peak_1_06",950193284,0.849324,2.730895,0.21249,0.064576,7177382,7177382
"363","RW_peak_1_07",950193284,0.956116,2.916967,0.235309,0.073122,8046011,8046011
"364","RW_peak_1_08",950193284,1.600948,4.073128,0.327399,0.12811,13473609,13473609
"365","RW_peak_1_09",950193284,1.642914,5.139393,0.304222,0.123896,14322566,14322566
"366","RW_peak_1_10",950193284,2.660767,6.60124,0.405521,0.201134,23354202,23354202
"367","RW_peak_2_01",950193284,4.798125,9.44119,0.519031,0.330291,41376099,41376099
"368","RW_peak_2_02",950193284,4.016957,8.623887,0.487273,0.286839,34814775,34814775
"369","RW_peak_2_03",950193284,4.485052,9.419102,0.504086,0.308748,39009918,39009918
"370","RW_peak_2_04",950193284,4.646485,9.476236,0.514584,0.320048,40263216,40263216
"371","RW_peak_2_05",950193284,4.437329,9.23363,0.503935,0.308445,38205025,38205025
"372","RW_peak_2_06",950193284,2.553191,6.760959,0.391482,0.19057,22115294,22115294
"373","RW_peak_2_07",950193284,0.002945,0.102585,0.00145,0.000138,33803,33803
"374","RW_peak_2_08",950193284,1.624641,4.223344,0.320357,0.13051,14125669,14125669
"375","RW_peak_2_09",950193284,0.000786,0.036173,0.000668,9e-06,9897,9897
"376","RW_peak_2_10",950193284,0.408391,3.10706,0.090527,0.027845,6620499,6620499
"377","TK_early_1_01",950193284,2.23694,5.137786,0.392035,0.17897,19352506,19352506
"378","TK_early_1_02",950193284,1.403802,6.599999,0.195224,0.094201,23013517,23013517
"379","TK_early_1_03",950193284,3.313365,7.020128,0.459598,0.252878,28434994,28434994
"380","TK_early_1_04",950193284,5.63696,10.640525,0.546112,0.365165,48527887,48527887
"381","TK_early_1_05",950193284,3.098888,6.526728,0.452532,0.241295,26583685,26583685
"382","TK_early_1_06",950193284,3.495687,7.495331,0.464617,0.260103,31185432,31185432
"383","TK_early_1_07",950193284,3.133918,6.687833,0.450995,0.240071,26776507,26776507
"384","TK_early_1_08",950193284,2.954309,6.647367,0.440421,0.225722,25620754,25620754
"385","TK_early_1_09",950193284,0.678083,4.224243,0.126742,0.047148,10043897,10043897
"386","TK_early_1_10",950193284,0.001881,0.074408,0.001121,6.9e-05,19464,19464
"387","TK_early_2_01",950193284,0.460652,1.755707,0.138204,0.032383,4250578,4250578
"388","TK_early_2_02",950193284,0.002047,0.074209,0.001333,6.3e-05,19658,19658
"389","TK_early_2_03",950193284,0.876556,2.77939,0.208807,0.068524,7558036,7558036
"390","TK_early_2_04",950193284,0.006095,0.145778,0.00308,0.000282,54718,54718
"391","TK_early_2_05",950193284,1.080128,3.048918,0.249154,0.085681,9258080,9258080
"392","TK_early_2_06",950193284,0.00139,0.04902,0.00114,1.8e-05,14095,14095
"393","TK_early_2_07",950193284,0.61069,3.83154,0.119596,0.042965,8325498,8325498
"394","TK_early_2_08",950193284,0.001244,0.04896,0.000969,2e-05,12070,12070
"395","TK_early_2_09",950193284,1.171143,3.496548,0.255331,0.092216,10149024,10149024
"396","TK_early_2_10",950193284,1.269351,3.588441,0.274966,0.100832,11056049,11056049
"397","TK_late_1_01",950193284,0.627883,3.788428,0.126797,0.044334,8187726,8187726
"398","TK_late_1_02",950193284,0.536225,3.486272,0.111642,0.037425,6924454,6924454
"399","TK_late_1_03",950193284,0.601123,3.660968,0.118425,0.042029,7543571,7543571
"400","TK_late_1_04",950193284,0.187442,1.933549,0.048459,0.011862,2390484,2390484
"401","TK_late_1_05",950193284,0.648779,3.787936,0.128027,0.046639,8337876,8337876
"402","TK_late_1_06",950193284,0.33575,2.523537,0.080797,0.023121,4287236,4287236
"403","TK_late_1_07",950193284,0.338874,2.853532,0.07438,0.022402,4420709,4420709
"404","TK_late_1_08",950193284,0.247536,2.270622,0.062383,0.015963,3192828,3192828
"405","TK_late_1_09",950193284,0.749126,4.207108,0.139763,0.052978,9754553,9754553
"406","TK_late_1_10",950193284,0.561153,3.45483,0.11735,0.039599,7248989,7248989
"407","TK_late_2_01",950193284,1.101815,6.146278,0.158651,0.067623,14073726,14073726
"408","TK_late_2_02",950193284,0.214794,1.920101,0.054404,0.01419,2654993,2654993
"409","TK_late_2_03",950193284,1.180933,5.772515,0.175348,0.08079,15636922,15636922
"410","TK_late_2_04",950193284,0.996975,5.293192,0.15521,0.065733,12805489,12805489
"411","TK_late_2_05",950193284,0.9378,4.918065,0.157828,0.066788,12531103,12531103
"412","TK_late_2_06",950193284,1.517718,7.053163,0.19918,0.09953,20982928,20982928
"413","TK_late_2_07",950193284,1.85381,8.102342,0.212863,0.11554,26042857,26042857
"414","TK_late_2_08",950193284,0.90638,5.84734,0.134295,0.051999,11017609,11017609
"415","TK_late_2_09",950193284,1.674071,7.413616,0.205425,0.108508,22955510,22955510
"416","TK_late_2_10",950193284,1.093684,5.718157,0.167934,0.074471,14857613,14857613
"417","TK_peak_1_01",950193284,1.383951,3.768242,0.299188,0.109098,11689695,11689695
"418","TK_peak_1_02",950193284,1.273914,3.592095,0.279284,0.099791,10706122,10706122
"419","TK_peak_1_03",950193284,0.843226,2.768673,0.210934,0.064175,7165851,7165851
"420","TK_peak_1_04",950193284,1.560344,4.199164,0.317202,0.123153,13136540,13136540
"421","TK_peak_1_05",950193284,1.181812,3.332765,0.270452,0.093147,9965108,9965108
"422","TK_peak_1_06",950193284,2.072074,5.112119,0.367989,0.163883,17454150,17454150
"423","TK_peak_1_07",950193284,1.093515,3.220885,0.25453,0.084943,9178574,9178574
"424","TK_peak_1_08",950193284,1.958268,4.891947,0.364138,0.154746,16532221,16532221
"425","TK_peak_1_09",950193284,5.361701,11.049405,0.525706,0.342755,46591708,46591708
"426","TK_peak_1_10",950193284,3.736191,8.108961,0.469249,0.270272,32213610,32213610
"427","TK_peak_2_01",950193284,2.285351,5.77495,0.380062,0.177074,19740965,19740965
"428","TK_peak_2_02",950193284,4.345966,8.651396,0.505807,0.309421,37357897,37357897
"429","TK_peak_2_03",950193284,3.904179,8.19661,0.483919,0.283218,33750106,33750106
"430","TK_peak_2_04",950193284,3.758686,7.794247,0.48256,0.277603,32411399,32411399
"431","TK_peak_2_05",950193284,4.416884,9.604122,0.500773,0.302992,39720502,39720502
"432","TK_peak_2_06",950193284,2.911104,7.233054,0.417951,0.216156,25244694,25244694
"433","TK_peak_2_07",950193284,1.655036,4.287646,0.320572,0.132654,14353240,14353240
"434","TK_peak_2_08",950193284,0.001336,0.039856,0.001246,2e-06,13790,13790
"435","TK_peak_2_09",950193284,1.103165,3.280685,0.247588,0.087141,9494869,9494869
"436","TK_peak_2_10",950193284,0.541784,3.539397,0.110312,0.03844,7282511,7282511
